Month;Total Fossil Fuels Production;Nuclear Electric Power Production;Total Renewable Energy Production;Total Primary Energy Production;Primary Energy Imports;Primary Energy Exports;Primary Energy Net Imports;Primary Energy Stock Change and Other;Total Fossil Fuels Consumption;Nuclear Electric Power Consumption;Total Renewable Energy Consumption;Total Primary Energy Consumption
01.08.1979;4,98963;0,263316;0,40921;5,662156;1,674783;0,259451;1,415332;-0,584493;5,814576;0,263316;0,40921;6,492996
01.09.1979;4,717572;0,237204;0,378903;5,333679;1,52275;0,218586;1,304164;-0,584935;5,431098;0,237204;0,378903;6,052908
01.10.1979;5,178934;0,227745;0,397602;5,804281;1,694041;0,28248;1,411561;-0,672622;5,911981;0,227745;0,397602;6,54322
01.11.1979;4,94752;0,209477;0,41474;5,571737;1,551628;0,261386;1,290242;-0,182937;6,049123;0,209477;0,41474;6,679042
01.12.1979;4,89564;0,223959;0,425109;5,544708;1,681775;0,25789;1,423885;0,369039;6,682671;0,223959;0,425109;7,337632
01.01.1980;5,11377;0,215389;0,478943;5,808102;1,679961;0,225585;1,454376;0,302537;6,864636;0,215389;0,478943;7,565016
01.02.1980;4,804588;0,210277;0,424298;5,439163;1,458972;0,208653;1,250319;0,433663;6,482913;0,210277;0,424298;7,123145
01.03.1980;5,14794;0,218584;0,469134;5,835658;1,461064;0,262475;1,198588;-0,012339;6,328141;0,218584;0,469134;7,021907
01.04.1980;4,909243;0,205;0,477356;5,591598;1,32502;0,285794;1,039226;-0,472372;5,470245;0,205;0,477356;6,158453
01.05.1980;5,010862;0,200541;0,517456;5,728859;1,266758;0,343299;0,923459;-0,644948;5,283326;0,200541;0,517456;6,00737
01.06.1980;4,833075;0,199859;0,497768;5,530702;1,27309;0,358751;0,914339;-0,572578;5,168984;0,199859;0,497768;5,872463
01.07.1980;4,687391;0,229329;0,471331;5,388052;1,195105;0,322017;0,873088;-0,125692;5,42874;0,229329;0,471331;6,135448
01.08.1980;4,782434;0,265424;0,429358;5,477215;1,18835;0,311891;0,876459;-0,290075;5,36277;0,265424;0,429358;6,063599
01.09.1980;4,775533;0,257127;0,401712;5,434372;1,154368;0,329056;0,825311;-0,289239;5,305752;0,257127;0,401712;5,970443
01.10.1980;4,962184;0,267351;0,402564;5,632099;1,233094;0,369312;0,863782;-0,179291;5,640628;0,267351;0,402564;6,31659
01.11.1980;4,828384;0,228892;0,409876;5,467152;1,212647;0,34119;0,871458;0,081628;5,775618;0,228892;0,409876;6,420238
01.12.1980;5,124584;0,241396;0,448546;5,814526;1,3478;0,33675;1,01105;0,538219;6,667805;0,241396;0,448546;7,363795
01.01.1981;4,933286;0,26228;0,462381;5,657948;1,327837;0,260909;1,066928;0,914377;6,904959;0,26228;0,462381;7,639252
01.02.1981;4,710872;0,238196;0,427043;5,37611;1,193052;0,276662;0,916391;0,192008;5,810571;0,238196;0,427043;6,484509
01.03.1981;5,201903;0,242709;0,443808;5,88842;1,173761;0,369183;0,804578;-0,086788;5,910062;0,242709;0,443808;6,60621
01.04.1981;4,135199;0,227726;0,43802;4,800945;1,066492;0,324137;0,742355;0,331906;5,20014;0,227726;0,43802;5,875206
01.05.1981;4,245212;0,217546;0,480423;4,943181;1,112558;0,273023;0,839534;0,156835;5,231949;0,217546;0,480423;5,93955
01.06.1981;4,672515;0,233457;0,496995;5,402967;1,022351;0,245397;0,776954;-0,184218;5,255929;0,233457;0,496995;5,995702
01.07.1981;5,007101;0,254569;0,491304;5,752973;1,121443;0,392644;0,728799;-0,273337;5,452931;0,254569;0,491304;6,208435
01.08.1981;5,177108;0,297219;0,454028;5,928355;1,113573;0,41954;0,694033;-0,509471;5,352038;0,297219;0,454028;6,112916
01.09.1981;5,06372;0,269115;0,40722;5,740055;1,183724;0,410856;0,772868;-0,692172;5,135095;0,269115;0,40722;5,820751
01.10.1981;5,254067;0,226731;0,416966;5,897764;1,160414;0,465502;0,694912;-0,448601;5,490746;0,226731;0,416966;6,144075
01.11.1981;4,954065;0,251301;0,418476;5,623842;1,090669;0,439771;0,650898;-0,136429;5,459212;0,251301;0,418476;6,13831
01.12.1981;5,132915;0,286743;0,477024;5,896682;1,153155;0,429619;0,723536;0,468348;6,315167;0,286743;0,477024;7,088566
01.01.1982;4,918393;0,284331;0,51444;5,717164;1,06643;0,316441;0,749989;0,981013;6,640697;0,284331;0,51444;7,448166
01.02.1982;4,728817;0,223538;0,489624;5,441978;0,872937;0,373937;0,499;0,53027;5,750531;0,223538;0,489624;6,471248
01.03.1982;5,267363;0,251971;0,544724;6,064058;0,892758;0,440048;0,45271;0,027239;5,740713;0,251971;0,544724;6,544007
01.04.1982;4,87061;0,241222;0,517128;5,62896;0,83866;0,425018;0,413643;-0,002017;5,27593;0,241222;0,517128;6,040586
01.05.1982;4,856617;0,239606;0,525795;5,622018;0,940268;0,417923;0,522345;-0,541984;4,829676;0,239606;0,525795;5,602379
01.06.1982;4,760056;0,26604;0,518974;5,54507;0,992314;0,414798;0,577516;-0,549912;4,78391;0,26604;0,518974;5,572673
01.07.1982;4,590146;0,281997;0,519267;5,39141;1,133264;0,383841;0,749423;-0,304981;5,028317;0,281997;0,519267;5,835852
01.08.1982;4,8292;0,276671;0,483203;5,589074;1,01679;0,356374;0,660416;-0,430863;5,047842;0,276671;0,483203;5,818627
01.09.1982;4,613666;0,281149;0,433748;5,328563;1,017597;0,374181;0,643417;-0,422708;4,823564;0,281149;0,433748;5,549273
01.10.1982;4,764703;0,257422;0,439874;5,461999;1,041527;0,436056;0,605471;-0,340962;5,017757;0,257422;0,439874;5,726507
01.11.1982;4,580885;0,257281;0,46993;5,308096;1,100767;0,348893;0,751875;-0,081028;5,241011;0,257281;0,46993;5,978943
01.12.1982;4,635404;0,269921;0,52293;5,428255;0,947767;0,320089;0,627678;0,402519;5,655954;0,269921;0,52293;6,458452
01.01.1983;4,702314;0,273422;0,562279;5,538015;0,921274;0,299176;0,622098;0,74739;6,062504;0,273422;0,562279;6,907502
01.02.1983;4,289048;0,242067;0,523276;5,05439;0,710558;0,262163;0,448395;0,562861;5,290891;0,242067;0,523276;6,065647
01.03.1983;4,665589;0,260523;0,572853;5,498964;0,76137;0,316061;0,445309;0,487597;5,58921;0,260523;0,572853;6,431871
01.04.1983;4,434922;0,243561;0,561458;5,23994;0,908755;0,310203;0,598553;0,031185;5,055553;0,243561;0,561458;5,869679
01.05.1983;4,490949;0,240465;0,581741;5,313155;0,98575;0,343613;0,642137;-0,262568;4,862973;0,240465;0,581741;5,692724
01.06.1983;4,370639;0,263376;0,569493;5,203508;0,996939;0,331364;0,665575;-0,191096;4,836114;0,263376;0,569493;5,677988
01.07.1983;4,325726;0,279191;0,550993;5,155909;1,101022;0,271255;0,829766;-0,044353;5,100754;0,279191;0,550993;5,941322
01.08.1983;4,710642;0,285725;0,528288;5,524655;1,174792;0,34676;0,828032;-0,224057;5,303409;0,285725;0,528288;6,128631
01.09.1983;4,546845;0,272705;0,476173;5,295724;1,146221;0,322919;0,823301;-0,419217;4,938737;0,272705;0,476173;5,699808
01.10.1983;4,699021;0,281314;0,474251;5,454585;1,024738;0,323607;0,70113;-0,454264;4,933914;0,281314;0,474251;5,701452
01.11.1983;4,57485;0,272735;0,507035;5,354621;0,996576;0,277961;0,718614;-0,137634;5,145302;0,272735;0,507035;5,935601
01.12.1983;4,557628;0,287465;0,587773;5,432865;1,023809;0,287847;0,735962;0,69453;5,977512;0,287465;0,587773;6,863357
01.01.1984;4,974302;0,317844;0,570081;5,862227;1,078119;0,244738;0,833381;0,958467;6,755532;0,317844;0,570081;7,654075
01.02.1984;4,770232;0,308326;0,535239;5,613797;1,030642;0,217414;0,813228;0,196071;5,770207;0,308326;0,535239;6,623097
01.03.1984;5,060365;0,296499;0,57904;5,935904;1,026372;0,313676;0,712695;0,210073;5,973514;0,296499;0,57904;6,858673
01.04.1984;4,813677;0,262738;0,566019;5,642434;1,013233;0,324792;0,688441;-0,060419;5,431746;0,262738;0,566019;6,270456
01.05.1984;5,066725;0,280471;0,593504;5,940699;1,146603;0,363003;0,783599;-0,553537;5,286097;0,280471;0,593504;6,170762
01.06.1984;4,841043;0,274321;0,553321;5,668685;1,017653;0,364921;0,652732;-0,294932;5,188581;0,274321;0,553321;6,026485
01.07.1984;4,924416;0,306687;0,547618;5,778721;1,039496;0,324437;0,715059;-0,338267;5,288875;0,306687;0,547618;6,155513
01.08.1984;5,242373;0,319793;0,524053;6,086219;0,973125;0,357832;0,615294;-0,378398;5,46417;0,319793;0,524053;6,323114
01.09.1984;4,889833;0,316027;0,47091;5,67677;0,979169;0,353487;0,625682;-0,541275;4,961915;0,316027;0,47091;5,761176
01.10.1984;4,800286;0,268621;0,47962;5,548527;1,113921;0,293857;0,820063;-0,407618;5,19925;0,268621;0,47962;5,960973
01.11.1984;4,636625;0,266462;0,48611;5,389197;1,062052;0,268968;0,793083;-0,081487;5,337341;0,266462;0,48611;6,100793
01.12.1984;4,789315;0,334742;0,532347;5,656405;0,990343;0,359021;0,631322;0,378709;5,788606;0,334742;0,532347;6,666436
